concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
424453,Warehouse2,20,1,0
1001454,Warehouse2,20,1,0
104937,Warehouse2,20,1,0
104938,Warehouse2,20,1,0
104939,Warehouse2,20,1,0
104940,Warehouse2,20,1,0
104517,Warehouse2,20,1,0
101865,Warehouse2,20,1,0
212440,Warehouse2,20,1,0
212442,Warehouse2,20,1,0
100682,Warehouse2,20,1,0
104074,Warehouse2,20,1,0
464004,Warehouse2,20,1,0
463994,Warehouse2,20,1,0
464007,Warehouse2,20,1,0
212447,Warehouse2,0,0,0
101509,Warehouse2,0,0,0
506670,Warehouse2,0,0,0
508165,Warehouse2,20,1,0
575284,Warehouse2,20,1,0
574969,Warehouse2,20,1,0
420520,Warehouse2,20,1,0
420685,Warehouse2,20,1,0
420687,Warehouse2,20,1,0
420689,Warehouse2,20,1,0
420691,Warehouse2,20,1,0
421248,Warehouse2,20,1,0
421261,Warehouse2,20,1,0
421511,Warehouse2,20,1,0
421533,Warehouse2,20,1,0
421534,Warehouse2,20,1,0
421540,Warehouse2,20,0,0
421768,Warehouse2,20,1,0
422524,Warehouse2,20,1,0
423383,Warehouse2,20,1,0
422741,Warehouse2,20,1,0
422780,Warehouse2,20,1,0
422855,Warehouse2,20,1,0
423237,Warehouse2,20,1,0
424372,Warehouse2,20,1,0
424384,Warehouse2,20,1,0
424400,Warehouse2,20,1,0
424409,Warehouse2,20,1,0
424430,Warehouse2,20,1,0
424431,Warehouse2,20,1,0
424447,Warehouse2,20,1,0
424449,Warehouse2,20,1,0
424463,Warehouse2,20,1,0
424464,Warehouse2,20,1,0
424466,Warehouse2,20,1,0
424516,Warehouse2,20,1,0
424549,Warehouse2,20,1,0
424550,Warehouse2,20,1,0
424551,Warehouse2,20,1,0
424599,Warehouse2,20,1,0
424605,Warehouse2,20,1,0
425073,Warehouse2,20,1,0
425074,Warehouse2,20,1,0
425075,Warehouse2,20,1,0
425078,Warehouse2,20,1,0
425090,Warehouse2,20,1,0
425093,Warehouse2,20,1,0
425097,Warehouse2,20,1,0
425098,Warehouse2,20,1,0
425099,Warehouse2,20,1,0
425100,Warehouse2,20,1,0
425123,Warehouse2,20,1,0
425150,Warehouse2,20,1,0
425152,Warehouse2,20,1,0
101863,Warehouse2,20,1,0
100683,Warehouse2,20,1,0
426376,Warehouse2,20,1,0
